154	6906291901175406700.wav	Dette menes at være femte gang i historien, at folk har observeret, hvad der har vist sig at være kemisk bevist materiale fra Mars, der falder ned på Jorden.	dette menes at være femte gang i historien at folk har observeret hvad der har vist sig at være kemisk bevist materiale fra mars der falder ned på jorden	d e t t e | m e n e s | a t | v æ r e | f e m t e | g a n g | i | h i s t o r i e n | a t | f o l k | h a r | o b s e r v e r e t | h v a d | d e r | h a r | v i s t | s i g | a t | v æ r e | k e m i s k | b e v i s t | m a t e r i a l e | f r a | m a r s | d e r | f a l d e r | n e d | p å | j o r d e n |	201600	FEMALE
964	12219336114004928882.wav	Diplomatiske uenigheder omkring regionen forværrer fortsat relationerne mellem Armenien og Aserbajdsjan.	diplomatiske uenigheder omkring regionen forværrer fortsat relationerne mellem armenien og aserbajdsjan	d i p l o m a t i s k e | u e n i g h e d e r | o m k r i n g | r e g i o n e n | f o r v æ r r e r | f o r t s a t | r e l a t i o n e r n e | m e l l e m | a r m e n i e n | o g | a s e r b a j d s j a n |	191040	FEMALE
1301	8094490608363444937.wav	Hans forskning viste at hvis der blev givet et hormon, ville det fremskynde udviklingen af babyens lunger i fosterstadiet.	hans forskning viste at hvis der blev givet et hormon ville det fremskynde udviklingen af babyens lunger i fosterstadiet	h a n s | f o r s k n i n g | v i s t e | a t | h v i s | d e r | b l e v | g i v e t | e t | h o r m o n | v i l l e | d e t | f r e m s k y n d e | u d v i k l i n g e n | a f | b a b y e n s | l u n g e r | i | f o s t e r s t a d i e t |	138240	FEMALE
1225	10590459367583127957.wav	Det er fornuftigt at bære, hvad der kan ligne en vielsesring (den bør bare ikke se for dyr ud.	det er fornuftigt at bære hvad der kan ligne en vielsesring den bør bare ikke se for dyr ud	d e t | e r | f o r n u f t i g t | a t | b æ r e | h v a d | d e r | k a n | l i g n e | e n | v i e l s e s r i n g | d e n | b ø r | b a r e | i k k e | s e | f o r | d y r | u d |	183360	MALE
66	10844979412512618578.wav	Demonstranterne håber at indsamle 1,2 millioner underskrifter, som de vil overbringe til Nationalkongressen i november.	demonstranterne håber at indsamle 1,2 millioner underskrifter som de vil overbringe til nationalkongressen i november	d e m o n s t r a n t e r n e | h å b e r | a t | i n d s a m l e | 1 , 2 | m i l l i o n e r | u n d e r s k r i f t e r | s o m | d e | v i l | o v e r b r i n g e | t i l | n a t i o n a l k o n g r e s s e n | i | n o v e m b e r |	154560	FEMALE
556	8327099661957541279.wav	Sportsudøvere kan føle at de foretrækker et produkt, selvom det ikke har nogen egentlige fordele.	sportsudøvere kan føle at de foretrækker et produkt selvom det ikke har nogen egentlige fordele	s p o r t s u d ø v e r e | k a n | f ø l e | a t | d e | f o r e t r æ k k e r | e t | p r o d u k t | s e l v o m | d e t | i k k e | h a r | n o g e n | e g e n t l i g e | f o r d e l e |	129600	FEMALE
157	11089817539621489738.wav	Nogle af stenene, som er meget sjældne på Jorden, sælges fra 11.000 US$ til $22.500 US$ pr. ounce, hvilket er omkring ti gange mere end prisen på guld.	nogle af stenene som er meget sjældne på jorden sælges fra 11.000 us$ til $22.500 us$ pr. ounce hvilket er omkring ti gange mere end prisen på guld	n o g l e | a f | s t e n e n e | s o m | e r | m e g e t | s j æ l d n e | p å | j o r d e n | s æ l g e s | f r a | 1 1 . 0 0 0 | u s $ | t i l | $ 2 2 . 5 0 0 | u s $ | p r . | o u n c e | h v i l k e t | e r | o m k r i n g | t i | g a n g e | m e r e | e n d | p r i s e n | p å | g u l d |	275520	FEMALE
1052	954808799558354978.wav	Andre biorytmebaserede muligheder indebærer at drikke masser af væske (især vand eller te, et kendt vanddrivende middel) forud for søvn, hvilket tvinger en til at stå op og lade vandet.	andre biorytmebaserede muligheder indebærer at drikke masser af væske især vand eller te et kendt vanddrivende middel forud for søvn hvilket tvinger en til at stå op og lade vandet	a n d r e | b i o r y t m e b a s e r e d e | m u l i g h e d e r | i n d e b æ r e r | a t | d r i k k e | m a s s e r | a f | v æ s k e | i s æ r | v a n d | e l l e r | t e | e t | k e n d t | v a n d d r i v e n d e | m i d d e l | f o r u d | f o r | s ø v n | h v i l k e t | t v i n g e r | e n | t i l | a t | s t å | o p | o g | l a d e | v a n d e t |	152640	MALE
467	4286886270711802512.wav	Men er vores fantasi baseret på virkeligheden? Hvorfor blev slotte bygget til at starte med? Hvordan blev de designet og bygget?	men er vores fantasi baseret på virkeligheden hvorfor blev slotte bygget til at starte med hvordan blev de designet og bygget	m e n | e r | v o r e s | f a n t a s i | b a s e r e t | p å | v i r k e l i g h e d e n | h v o r f o r | b l e v | s l o t t e | b y g g e t | t i l | a t | s t a r t e | m e d | h v o r d a n | b l e v | d e | d e s i g n e t | o g | b y g g e t |	148800	FEMALE
238	8220997048161189570.wav	Så hvis du stod ved kysten, kunne du se ned til, hvad der er af småsten eller snask på bunden.	så hvis du stod ved kysten kunne du se ned til hvad der er af småsten eller snask på bunden	s å | h v i s | d u | s t o d | v e d | k y s t e n | k u n n e | d u | s e | n e d | t i l | h v a d | d e r | e r | a f | s m å s t e n | e l l e r | s n a s k | p å | b u n d e n |	157440	MALE
